Date,close_price,Volume
2020-03-09 00:00:00-04:00,168.32420349121094,29949000
2020-03-10 00:00:00-04:00,176.95391845703125,24517800
2020-03-11 00:00:00-04:00,169.05908203125,20373900
2020-03-12 00:00:00-04:00,153.3984832763672,43266300
2020-03-13 00:00:00-04:00,169.09878540039062,35028600
2020-03-16 00:00:00-04:00,144.9971466064453,39120400
2020-03-17 00:00:00-04:00,148.38348388671875,34255600
2020-03-18 00:00:00-04:00,145.94056701660156,37553100
2020-03-19 00:00:00-04:00,152.0677490234375,39862300
2020-03-20 00:00:00-04:00,148.69131469726562,32568400
2020-03-23 00:00:00-04:00,147.07266235351562,29830800
2020-03-24 00:00:00-04:00,159.86329650878906,30440400
2020-03-25 00:00:00-04:00,155.12640380859375,35184300
2020-03-26 00:00:00-04:00,162.2069549560547,26556800
2020-03-27 00:00:00-04:00,155.70236206054688,24879900
2020-03-30 00:00:00-04:00,164.79884338378906,22515200
2020-03-31 00:00:00-04:00,165.6429443359375,23676300
2020-04-01 00:00:00-04:00,158.4928741455078,19507600
2020-04-02 00:00:00-04:00,157.09266662597656,20886300
2020-04-03 00:00:00-04:00,153.1104736328125,25983300
2020-04-06 00:00:00-04:00,164.401611328125,28453600
2020-04-07 00:00:00-04:00,167.6588592529297,31411900
2020-04-08 00:00:00-04:00,173.071044921875,21664200
2020-04-09 00:00:00-04:00,173.97474670410156,23534300
2020-04-13 00:00:00-04:00,173.57749938964844,19355400
2020-04-14 00:00:00-04:00,176.93405151367188,21011800
2020-04-15 00:00:00-04:00,175.7423553466797,17423000
2020-04-16 00:00:00-04:00,175.02735900878906,23593200
2020-04-17 00:00:00-04:00,177.9966278076172,20974800
2020-04-20 00:00:00-04:00,177.00355529785156,16110700
2020-04-21 00:00:00-04:00,169.6151885986328,24850500
2020-04-22 00:00:00-04:00,181.01556396484375,33242000
2020-04-23 00:00:00-04:00,183.84579467773438,21426600
2020-04-24 00:00:00-04:00,188.7515106201172,28792000
2020-04-27 00:00:00-04:00,186.19935607910156,29197800
2020-04-28 00:00:00-04:00,181.64117431640625,21731000
2020-04-29 00:00:00-04:00,192.8429412841797,45954500
2020-04-30 00:00:00-04:00,203.28994750976562,46230100
2020-05-01 00:00:00-04:00,200.86688232421875,30415600
2020-05-04 00:00:00-04:00,203.8361358642578,19250700
2020-05-05 00:00:00-04:00,205.6335906982422,21071200
2020-05-06 00:00:00-04:00,207.0238800048828,21857000
2020-05-07 00:00:00-04:00,209.79452514648438,15152000
2020-05-08 00:00:00-04:00,210.87696838378906,12506000
2020-05-11 00:00:00-04:00,211.70120239257812,12911900
2020-05-12 00:00:00-04:00,208.64259338378906,14704600
2020-05-13 00:00:00-04:00,203.67724609375,20684600
2020-05-14 00:00:00-04:00,205.37538146972656,17178900
2020-05-15 00:00:00-04:00,209.4171600341797,19383200
2020-05-18 00:00:00-04:00,211.7111358642578,20151900
2020-05-19 00:00:00-04:00,215.37551879882812,31843200
2020-05-20 00:00:00-04:00,228.37474060058594,50162900
2020-05-21 00:00:00-04:00,229.78488159179688,47782600
2020-05-22 00:00:00-04:00,233.28045654296875,33925600
2020-05-26 00:00:00-04:00,230.58924865722656,33178300
2020-05-27 00:00:00-04:00,227.5504913330078,34697600
2020-05-28 00:00:00-04:00,223.89605712890625,29377200
2020-05-29 00:00:00-04:00,223.528564453125,23241500
2020-06-01 00:00:00-04:00,230.30128479003906,18223800
2020-06-02 00:00:00-04:00,231.1056671142578,20919000
2020-06-03 00:00:00-04:00,228.56341552734375,15380300
2020-06-04 00:00:00-04:00,224.72024536132812,17041500
2020-06-05 00:00:00-04:00,229.169189453125,16750400
2020-06-08 00:00:00-04:00,229.7947998046875,15466500
2020-06-09 00:00:00-04:00,237.01438903808594,27462900
2020-06-10 00:00:00-04:00,235.08786010742188,20720700
2020-06-11 00:00:00-04:00,222.87313842773438,26708200
2020-06-12 00:00:00-04:00,226.99436950683594,22091400
2020-06-15 00:00:00-04:00,230.88719177246094,15340300
2020-06-16 00:00:00-04:00,234.01531982421875,15236700
2020-06-17 00:00:00-04:00,233.89617919921875,19578100
2020-06-18 00:00:00-04:00,234.30331420898438,15782500
2020-06-19 00:00:00-04:00,237.133544921875,30081300
2020-06-22 00:00:00-04:00,237.56057739257812,18917800
2020-06-23 00:00:00-04:00,240.55963134765625,24017900
2020-06-24 00:00:00-04:00,232.3966522216797,20834900
2020-06-25 00:00:00-04:00,234.04510498046875,18704300
2020-06-26 00:00:00-04:00,214.5811309814453,76343900
2020-06-29 00:00:00-04:00,219.10948181152344,58514300
2020-06-30 00:00:00-04:00,225.49485778808594,33927100
2020-07-01 00:00:00-04:00,235.90216064453125,43399700
2020-07-02 00:00:00-04:00,231.80078125,30633600
2020-07-06 00:00:00-04:00,238.61318969726562,26206200
2020-07-07 00:00:00-04:00,239.18917846679688,27887800
2020-07-08 00:00:00-04:00,241.89031982421875,29791300
2020-07-09 00:00:00-04:00,242.80392456054688,22174900
2020-07-10 00:00:00-04:00,243.36997985839844,22982700
2020-07-13 00:00:00-04:00,237.3420867919922,24674900
2020-07-14 00:00:00-04:00,238.0670166015625,23378100
2020-07-15 00:00:00-04:00,238.61318969726562,19133600
2020-07-16 00:00:00-04:00,239.25869750976562,18880700
2020-07-17 00:00:00-04:00,240.35107421875,18152400
2020-07-20 00:00:00-04:00,243.71755981445312,20872200
2020-07-21 00:00:00-04:00,240.07301330566406,19364200
2020-07-22 00:00:00-04:00,238.2060546875,15427900
2020-07-23 00:00:00-04:00,230.9864959716797,21771800
2020-07-24 00:00:00-04:00,229.109619140625,18325800
2020-07-27 00:00:00-04:00,231.88023376464844,13163100
2020-07-28 00:00:00-04:00,228.52369689941406,14170100
2020-07-29 00:00:00-04:00,231.6716766357422,13588300
2020-07-30 00:00:00-04:00,232.87332153320312,20615300
2020-07-31 00:00:00-04:00,251.91030883789062,53005100
2020-08-03 00:00:00-04:00,250.21218872070312,23124900
2020-08-04 00:00:00-04:00,248.0969696044922,17183500
2020-08-05 00:00:00-04:00,247.3918914794922,13050100
2020-08-06 00:00:00-04:00,263.4398193359375,45241600
2020-08-07 00:00:00-04:00,266.5778503417969,72766400
2020-08-10 00:00:00-04:00,261.17559814453125,30248800
2020-08-11 00:00:00-04:00,254.353271484375,28238300
2020-08-12 00:00:00-04:00,258.087158203125,21415700
2020-08-13 00:00:00-04:00,259.48736572265625,17374000
2020-08-14 00:00:00-04:00,259.42779541015625,14792700
2020-08-17 00:00:00-04:00,259.348388671875,13351100
2020-08-18 00:00:00-04:00,260.52020263671875,18690400
2020-08-19 00:00:00-04:00,260.7684326171875,23291500
2020-08-20 00:00:00-04:00,267.1438903808594,20299700
2020-08-21 00:00:00-04:00,265.1578369140625,15538600
2020-08-24 00:00:00-04:00,269.5074462890625,23685600
2020-08-25 00:00:00-04:00,278.8719787597656,42127200
2020-08-26 00:00:00-04:00,301.80181884765625,69015200
2020-08-27 00:00:00-04:00,291.18597412109375,30301300
2020-08-28 00:00:00-04:00,291.6229248046875,17157400
2020-08-31 00:00:00-04:00,291.1661071777344,17345100
2020-09-01 00:00:00-04:00,293.39056396484375,17295900
2020-09-02 00:00:00-04:00,300.4015808105469,24341400
2020-09-03 00:00:00-04:00,289.10052490234375,32294100
2020-09-04 00:00:00-04:00,280.7687683105469,30333700
2020-09-08 00:00:00-04:00,269.2789611816406,24864000
2020-09-09 00:00:00-04:00,271.82122802734375,22918800
2020-09-10 00:00:00-04:00,266.2303466796875,24814700
2020-09-11 00:00:00-04:00,264.76055908203125,18913900
2020-09-14 00:00:00-04:00,264.30377197265625,24093800
2020-09-15 00:00:00-04:00,270.5302734375,18478500
2020-09-16 00:00:00-04:00,261.6920166015625,29183400
2020-09-17 00:00:00-04:00,253.05233764648438,31281400
2020-09-18 00:00:00-04:00,250.77821350097656,28130800
2020-09-21 00:00:00-04:00,246.42860412597656,24709400
2020-09-22 00:00:00-04:00,252.98284912109375,30293100
2020-09-23 00:00:00-04:00,247.29258728027344,19641300
2020-09-24 00:00:00-04:00,247.79905700683594,20006800
2020-09-25 00:00:00-04:00,253.05233764648438,18351300
2020-09-28 00:00:00-04:00,255.0384979248047,18826300
2020-09-29 00:00:00-04:00,259.9740295410156,20200200
2020-09-30 00:00:00-04:00,260.083251953125,20142500
2020-10-01 00:00:00-04:00,264.7804260253906,20009800
2020-10-02 00:00:00-04:00,258.1368103027344,16367600
2020-10-05 00:00:00-04:00,262.81414794921875,12822300
2020-10-06 00:00:00-04:00,256.86572265625,18696900
2020-10-07 00:00:00-04:00,256.3294372558594,23133400
2020-10-08 00:00:00-04:00,261.9303283691406,16312800
2020-10-09 00:00:00-04:00,262.6156005859375,14107800
2020-10-12 00:00:00-04:00,273.837158203125,31019300
2020-10-13 00:00:00-04:00,274.2244567871094,18063300
2020-10-14 00:00:00-04:00,269.9344482421875,15577800
2020-10-15 00:00:00-04:00,264.8697814941406,15416100
2020-10-16 00:00:00-04:00,264.0852966308594,16622700
2020-10-19 00:00:00-04:00,259.5867004394531,13587000
2020-10-20 00:00:00-04:00,265.7040100097656,18763200
2020-10-21 00:00:00-04:00,276.7964782714844,28998600
2020-10-22 00:00:00-04:00,276.190673828125,16720000
2020-10-23 00:00:00-04:00,282.814453125,17535200
2020-10-26 00:00:00-04:00,275.18768310546875,21322900
2020-10-27 00:00:00-04:00,281.3249206542969,16287200
2020-10-28 00:00:00-04:00,265.8132019042969,23121800
2020-10-29 00:00:00-04:00,278.8818664550781,32368100
2020-10-30 00:00:00-04:00,261.28485107421875,47247800
2020-11-02 00:00:00-05:00,259.5469665527344,27165700
2020-11-03 00:00:00-05:00,263.4595947265625,17961900
2020-11-04 00:00:00-05:00,285.386474609375,35364400
2020-11-05 00:00:00-05:00,292.6358337402344,23823600
2020-11-06 00:00:00-05:00,291.37469482421875,13891000
2020-11-09 00:00:00-05:00,276.836181640625,25117700
2020-11-10 00:00:00-05:00,270.5401916503906,29067700
2020-11-11 00:00:00-05:00,274.56207275390625,14957000
2020-11-12 00:00:00-05:00,273.1717529296875,12899500
2020-11-13 00:00:00-05:00,275.02886962890625,10391200
2020-11-16 00:00:00-05:00,277.02490234375,12970400
2020-11-17 00:00:00-05:00,273.09234619140625,15040300
2020-11-18 00:00:00-05:00,270.0833435058594,12152900
2020-11-19 00:00:00-05:00,271.04669189453125,12963700
2020-11-20 00:00:00-05:00,267.82916259765625,18114700
2020-11-23 00:00:00-05:00,266.56793212890625,20990800
2020-11-24 00:00:00-05:00,274.9990539550781,16930400
2020-11-25 00:00:00-05:00,273.6782531738281,12467000
2020-11-27 00:00:00-05:00,275.8829040527344,7808400
2020-11-30 00:00:00-05:00,275.0487365722656,16693300
2020-12-01 00:00:00-05:00,284.5622253417969,20738900
2020-12-02 00:00:00-05:00,285.5255126953125,17361600
2020-12-03 00:00:00-05:00,279.89483642578125,12921700
2020-12-04 00:00:00-05:00,277.7597961425781,10880300
2020-12-07 00:00:00-05:00,283.59893798828125,13007700
2020-12-08 00:00:00-05:00,281.4340515136719,10747700
2020-12-09 00:00:00-05:00,275.9921569824219,25189700
2020-12-10 00:00:00-05:00,275.1976318359375,20065100
2020-12-11 00:00:00-05:00,271.65240478515625,14391400
2020-12-14 00:00:00-05:00,272.2879638671875,16376900
2020-12-15 00:00:00-05:00,273.6385192871094,23979500
2020-12-16 00:00:00-05:00,273.7577209472656,15885000
2020-12-17 00:00:00-05:00,272.57598876953125,16377800
2020-12-18 00:00:00-05:00,274.482666015625,26693200
2020-12-21 00:00:00-05:00,270.8977355957031,16553700
2020-12-22 00:00:00-05:00,265.2372131347656,17312900
2020-12-23 00:00:00-05:00,266.2500915527344,14329000
2020-12-24 00:00:00-05:00,265.54510498046875,6702000
2020-12-28 00:00:00-05:00,275.0784912109375,23299700
2020-12-29 00:00:00-05:00,274.8600158691406,16383000
2020-12-30 00:00:00-05:00,269.98406982421875,11803800
2020-12-31 00:00:00-05:00,271.2651672363281,12900400
2021-01-04 00:00:00-05:00,267.07440185546875,15106100
2021-01-05 00:00:00-05:00,269.09027099609375,9871600
2021-01-06 00:00:00-05:00,261.4833984375,24354100
2021-01-07 00:00:00-05:00,266.8757629394531,15789800
2021-01-08 00:00:00-05:00,265.7139587402344,18528300
2021-01-11 00:00:00-05:00,255.05833435058594,30412300
2021-01-12 00:00:00-05:00,249.34823608398438,26383500
2021-01-13 00:00:00-05:00,249.89442443847656,19528900
2021-01-14 00:00:00-05:00,243.93601989746094,29739400
2021-01-15 00:00:00-05:00,249.61634826660156,24942900
2021-01-19 00:00:00-05:00,259.2887878417969,28028500
2021-01-20 00:00:00-05:00,265.62451171875,25199900
2021-01-21 00:00:00-05:00,270.97711181640625,20838700
2021-01-22 00:00:00-05:00,272.5958251953125,21954000
2021-01-25 00:00:00-05:00,276.0814514160156,19087000
2021-01-26 00:00:00-05:00,280.0934143066406,19373600
2021-01-27 00:00:00-05:00,270.2522277832031,35346200
2021-01-28 00:00:00-05:00,263.1617431640625,37758800
2021-01-29 00:00:00-05:00,256.53802490234375,30389500
2021-02-01 00:00:00-05:00,260.1924743652344,22914300
2021-02-02 00:00:00-05:00,265.227294921875,17320800
2021-02-03 00:00:00-05:00,264.80029296875,14223400
2021-02-04 00:00:00-05:00,264.641357421875,16060000
2021-02-05 00:00:00-05:00,266.240234375,12454400
2021-02-08 00:00:00-05:00,264.7307434082031,13755200
2021-02-09 00:00:00-05:00,267.5809020996094,14613400
2021-02-10 00:00:00-05:00,269.98406982421875,14687200
2021-02-11 00:00:00-05:00,268.5143127441406,12828600
2021-02-12 00:00:00-05:00,268.6236267089844,9097600
2021-02-16 00:00:00-05:00,272.0694885253906,15417200
2021-02-17 00:00:00-05:00,271.67230224609375,12763200
2021-02-18 00:00:00-05:00,267.52130126953125,15249100
2021-02-19 00:00:00-05:00,259.7455749511719,25622600
2021-02-22 00:00:00-05:00,258.52410888671875,17434900
2021-02-23 00:00:00-05:00,264.0157470703125,21924600
