Date,ticker,close_price,Volume
2020-03-10 00:00:00-04:00,MSFT,152.85897827148438,65354400
2020-03-11 00:00:00-04:00,MSFT,145.93417358398438,56371600
2020-03-12 00:00:00-04:00,MSFT,132.09402465820312,93226400
2020-03-13 00:00:00-04:00,MSFT,150.87367248535156,92727400
2020-03-16 00:00:00-04:00,MSFT,128.6363525390625,87905900
2020-03-17 00:00:00-04:00,MSFT,139.22781372070312,81059800
2020-03-18 00:00:00-04:00,MSFT,133.3668670654297,81593200
2020-03-19 00:00:00-04:00,MSFT,135.56118774414062,85922700
2020-03-20 00:00:00-04:00,MSFT,130.46966552734375,84866200
2020-03-23 00:00:00-04:00,MSFT,129.16831970214844,78975200
2020-03-24 00:00:00-04:00,MSFT,140.90914916992188,82516700
2020-03-25 00:00:00-04:00,MSFT,139.56031799316406,75638200
2020-03-26 00:00:00-04:00,MSFT,148.28993225097656,64568100
2020-03-27 00:00:00-04:00,MSFT,142.20101928710938,57042300
2020-03-30 00:00:00-04:00,MSFT,152.2035369873047,63420300
2020-03-31 00:00:00-04:00,MSFT,149.80978393554688,77927200
2020-04-01 00:00:00-04:00,MSFT,144.49034118652344,57969900
2020-04-02 00:00:00-04:00,MSFT,147.48245239257812,49630700
2020-04-03 00:00:00-04:00,MSFT,146.12411499023438,41243300
2020-04-06 00:00:00-04:00,MSFT,156.99107360839844,67111700
2020-04-07 00:00:00-04:00,MSFT,155.3002471923828,62769000
2020-04-08 00:00:00-04:00,MSFT,156.85809326171875,48318200
2020-04-09 00:00:00-04:00,MSFT,156.8675537109375,51385100
2020-04-13 00:00:00-04:00,MSFT,157.21902465820312,41905300
2020-04-14 00:00:00-04:00,MSFT,164.99879455566406,52874300
2020-04-15 00:00:00-04:00,MSFT,163.2699737548828,40940800
2020-04-16 00:00:00-04:00,MSFT,168.17147827148438,50479600
2020-04-17 00:00:00-04:00,MSFT,169.65333557128906,52765600
2020-04-20 00:00:00-04:00,MSFT,166.2906494140625,36669600
2020-04-21 00:00:00-04:00,MSFT,159.41331481933594,56203700
2020-04-22 00:00:00-04:00,MSFT,164.8278045654297,34620200
2020-04-23 00:00:00-04:00,MSFT,162.83299255371094,32790800
2020-04-24 00:00:00-04:00,MSFT,165.80624389648438,34277600
2020-04-27 00:00:00-04:00,MSFT,165.33126831054688,33194400
2020-04-28 00:00:00-04:00,MSFT,161.30361938476562,34392700
2020-04-29 00:00:00-04:00,MSFT,168.54190063476562,51286600
2020-04-30 00:00:00-04:00,MSFT,170.23277282714844,53875900
2020-05-01 00:00:00-04:00,MSFT,165.8251953125,39370500
2020-05-04 00:00:00-04:00,MSFT,169.8813018798828,30372900
2020-05-05 00:00:00-04:00,MSFT,171.70513916015625,36839200
2020-05-06 00:00:00-04:00,MSFT,173.3959503173828,32139300
2020-05-07 00:00:00-04:00,MSFT,174.40286254882812,28316000
2020-05-08 00:00:00-04:00,MSFT,175.4287567138672,30877800
2020-05-11 00:00:00-04:00,MSFT,177.38558959960938,30892700
2020-05-12 00:00:00-04:00,MSFT,173.36746215820312,32038200
2020-05-13 00:00:00-04:00,MSFT,170.74569702148438,44711500
2020-05-14 00:00:00-04:00,MSFT,171.4866180419922,41873900
2020-05-15 00:00:00-04:00,MSFT,173.98492431640625,46610400
2020-05-18 00:00:00-04:00,MSFT,175.6472625732422,35264500
2020-05-19 00:00:00-04:00,MSFT,174.43133544921875,26799100
2020-05-20 00:00:00-04:00,MSFT,176.85086059570312,31261300
2020-05-21 00:00:00-04:00,MSFT,174.72662353515625,29119500
